well,electrode,mean_spikes,median_spikes,std_spikes,min_spikes,max_spikes,total_spikes,frac_nonzero,n_measurements
2,8,8.0,2.0,17.75030058144671,0.0,90.0,328,0.9024390243902439,41
2,9,3.707317073170732,2.0,6.58247452336005,0.0,35.0,152,0.8292682926829268,41
2,10,1.8780487804878048,2.0,1.5491165373854066,0.0,5.0,77,0.7804878048780488,41
2,11,6.2439024390243905,2.0,26.89888971124643,0.0,176.0,256,0.7560975609756098,41
2,12,11.024390243902438,3.0,27.16120601948808,0.0,140.0,452,0.9512195121951219,41
2,13,3.4390243902439024,2.0,7.221407134305967,0.0,48.0,141,0.9024390243902439,41
2,14,9.317073170731707,3.0,38.21916198261263,0.0,248.0,382,0.8292682926829268,41
2,15,4.902439024390244,2.0,13.084723690287081,0.0,75.0,201,0.8048780487804879,41
2,16,15.78048780487805,3.0,48.41865806218233,0.0,254.0,647,0.926829268292683,41
3,1,563.170731707317,602.0,491.3682193103713,0.0,1624.0,23090,0.926829268292683,41
3,2,12.121951219512194,2.0,62.305774356346475,0.0,406.0,497,0.8536585365853658,41
3,3,2.268292682926829,2.0,2.2308741614203167,0.0,14.0,93,0.8780487804878049,41
3,4,3.975609756097561,2.0,13.969457633688469,0.0,92.0,163,0.8536585365853658,41
3,5,2.073170731707317,2.0,1.3861729013056412,0.0,5.0,85,0.8536585365853658,41
3,6,3.024390243902439,2.0,5.181994177205118,0.0,34.0,124,0.9512195121951219,41
3,7,30.463414634146343,3.0,108.64309380831673,0.0,568.0,1249,0.8780487804878049,41
3,8,2.1463414634146343,2.0,1.539099762369122,0.0,6.0,88,0.8536585365853658,41
3,9,9.341463414634147,2.0,44.40204881896592,0.0,290.0,383,0.9024390243902439,41
3,10,2.5365853658536586,2.0,1.6689058921518052,0.0,8.0,104,0.8780487804878049,41
3,11,112.63414634146342,6.0,190.2221751195115,0.0,803.0,4618,0.9024390243902439,41
3,12,4.780487804878049,2.0,11.994942420223843,0.0,77.0,196,0.8536585365853658,41
3,13,2.1219512195121952,2.0,1.6408671406394302,0.0,6.0,87,0.8536585365853658,41
3,14,2.341463414634146,2.0,1.676374661213618,0.0,8.0,96,0.9024390243902439,41
3,15,9.804878048780488,3.0,21.36696733927889,0.0,92.0,402,0.8292682926829268,41
3,16,35.41463414634146,2.0,144.31215752746547,0.0,876.0,1452,0.8780487804878049,41
4,1,2.1219512195121952,2.0,1.3649823004520216,0.0,5.0,87,0.8536585365853658,41
4,2,9.048780487804878,2.0,29.282435607342425,0.0,177.0,371,0.8292682926829268,41
4,3,111.8780487804878,4.0,181.4336128163891,0.0,626.0,4587,0.926829268292683,41
4,4,2.2195121951219514,2.0,1.5062826982092203,0.0,6.0,91,0.9024390243902439,41
4,5,2.3902439024390243,2.0,2.1626321900156964,0.0,10.0,98,0.7804878048780488,41
4,6,4.048780487804878,2.0,10.11868886597708,0.0,67.0,166,0.8536585365853658,41
4,7,134.78048780487805,3.0,286.7906104694165,0.0,1240.0,5526,0.8780487804878049,41
4,8,7.2926829268292686,3.0,29.733157890943186,0.0,195.0,299,0.8292682926829268,41
4,9,50.707317073170735,2.0,176.9073402084582,0.0,888.0,2079,0.8048780487804879,41
4,10,5.2439024390243905,2.0,9.468253728825008,0.0,49.0,215,0.8536585365853658,41
4,11,2.5609756097560976,2.0,2.2528981929279004,0.0,11.0,105,0.9024390243902439,41
4,12,2.048780487804878,2.0,2.083046777833773,0.0,10.0,84,0.7317073170731707,41
4,13,2.4146341463414633,2.0,1.7104500870523647,0.0,6.0,99,0.8536585365853658,41
4,14,3.0,2.0,4.928760790181369,0.0,33.0,123,0.9024390243902439,41
4,15,2.268292682926829,2.0,1.9757603074223058,0.0,10.0,93,0.8292682926829268,41
4,16,2.1951219512195124,2.0,1.5336790168060965,0.0,6.0,90,0.8536585365853658,41
